Symptom(s),Possible Disease,Precautions,Treatment
"Nausea, Nosebleeds, Low Blood Pressure",Colon Cancer,"Meditate daily, Eat healthy, Avoid stress",Hormonal Therapy
"Shortness of Breath, Memory Loss, Joint Pain",Thyroid Disease,"Monitor blood pressure, Avoid alcohol, Take vaccines",Antihistamines
"Sensitivity to Light, Excessive Thirst, Difficulty Swallowing",Hepatitis,"Stay hydrated, Sleep properly",Oral Rehydration
"Swelling in Legs, Shortness of Breath, Sweating, Numbness",Kidney Stones,Use sunscreen,"Cough Syrup, Shockwave Therapy, Emergency Medical Help"
"Back Pain, Chest Pain, Sweating",Parkinson’s Disease,"Meditate daily, Avoid alcohol, Avoid smoking","Insulin, Radiation Therapy, Eye Drops"
"Chest Pain, Weight Loss, Memory Loss",Bronchitis,"Avoid bright lights, Meditate daily, Use mosquito repellent",Paracetamol
"Ear Pain, Back Pain, Sweating",Glaucoma,Drink herbal tea,"Dietary Supplements, Painkillers"
"Muscle Weakness, Shortness of Breath",Sinusitis,"Use mosquito repellent, Avoid allergens, Take vaccines","Psychotherapy, Chemotherapy"
"Tremors, Abdominal Pain, Shortness of Breath",Typhoid,"Reduce caffeine intake, Use sunscreen, Use an inhaler","Psychotherapy, Emergency Medical Help, Eye Drops"
"Abdominal Pain, Memory Loss, Numbness",Sinusitis,Wear a mask,"Antihistamines, Radiation Therapy"
"Mood Swings, Excessive Thirst, Chest Pain, Ear Pain",Liver Disease,Get proper nutrition,Vitamin Supplements
"Low Blood Pressure, Heart Palpitations, Nausea, Back Pain",Dengue,"Avoid crowded places, Avoid smoking, Reduce sugar intake",Insulin
"Swollen Glands, Abdominal Pain",Tuberculosis,"Reduce sugar intake, Rest","Dietary Supplements, Steroids, Antiviral Drugs"
"Sneezing, Numbness, Rash, Tremors",Pneumonia,"Meditate daily, Take vaccines","Bone Marrow Transplant, Emergency Medical Help, Inhalers"
"Runny Nose, Sore Throat, Sensitivity to Light",Flu,"Maintain hygiene, Exercise regularly, Rest","IV Fluids, Paracetamol"
"Shortness of Breath, Nosebleeds, Fever, Low Blood Pressure",Malaria,"Use mosquito repellent, Wash hands frequently","Pacemaker Implantation, Radiation Therapy"
"High Blood Pressure, Weight Loss, Dizziness",Arrhythmia,Reduce sugar intake,Paracetamol
"Tremors, Headache",PCOS,"Avoid bright lights, Maintain hygiene","Pacemaker Implantation, Hormonal Therapy, Cognitive Therapy"
"Tremors, Dizziness, Rash, Mood Swings",Leukemia,"Avoid stress, Use mosquito repellent, Monitor blood pressure",Anti-inflammatory Drugs
"Muscle Weakness, Heart Palpitations, Swollen Glands",Epilepsy,"Monitor blood pressure, Wear a mask","Antiviral Drugs, Skin Creams, Psychotherapy"
"Diarrhea, Runny Nose, Mood Swings",Tuberculosis,Sleep properly,"Skin Creams, Surgery"
"Rash, Nosebleeds",Liver Disease,"Maintain hygiene, Drink herbal tea",Antibiotics
"Memory Loss, Sneezing, Loss of Appetite",Vertigo,"Exercise regularly, Avoid bright lights","Skin Creams, Oral Rehydration, Cognitive Therapy"
"Low Blood Pressure, Loss of Appetite",Colon Cancer,Use sunscreen,"Anti-inflammatory Drugs, Painkillers"
"Dry Skin, Diarrhea, Cold Hands, Swollen Glands",Common Cold,"Avoid crowded places, Meditate daily, Eat healthy","Oxygen Therapy, Psychotherapy"
"Tingling Sensation, Ear Pain",Arthritis,"Regular health checkups, Reduce salt intake",IV Fluids
"Runny Nose, Frequent Urination",Flu,"Avoid alcohol, Sleep properly, Wash hands frequently","Radiation Therapy, Inhalers, Steroids"
"Heart Palpitations, Itchy Eyes, Sore Throat",Meningitis,"Stay hydrated, Avoid smoking","Insulin, Antihistamines, Physiotherapy"
"Tingling Sensation, Sweating",Food Poisoning,"Avoid stress, Take vaccines, Regular health checkups","Dietary Supplements, Insulin, Cognitive Therapy"
"Runny Nose, Heart Palpitations, Low Blood Pressure, Abdominal Pain",Lupus,Avoid crowded places,"Steroids, Bone Marrow Transplant, Dietary Supplements"
"Memory Loss, Fever, Muscle Weakness",Migraine,Get proper nutrition,Surgery
"Loss of Appetite, Dry Skin",Stroke,Exercise regularly,"Cognitive Therapy, Blood Thinners"
"Loss of Appetite, Fatigue, Itchy Eyes, Back Pain",Multiple Sclerosis,"Reduce salt intake, Maintain hygiene, Use mosquito repellent","Chemotherapy, Oral Rehydration"
"Dizziness, Mood Swings, Dry Skin, Tingling Sensation",Vertigo,Wear a mask,"Antihistamines, Pacemaker Implantation, Oral Rehydration"
"Fever, Blurred Vision, Memory Loss, Sneezing",Food Poisoning,"Avoid alcohol, Get proper nutrition","Blood Thinners, Psychotherapy, Cough Syrup"
"Dizziness, Frequent Urination",Arrhythmia,"Monitor blood pressure, Sleep properly","Eye Drops, IV Fluids, Pacemaker Implantation"
"Nausea, Frequent Urination",Bronchitis,"Avoid allergens, Rest, Reduce caffeine intake","Antifungal Medication, Oxygen Therapy, Painkillers"
"Runny Nose, Dry Skin, Cold Hands, Sensitivity to Light",Lung Infection,Get proper nutrition,"Emergency Medical Help, IV Fluids"
"Dry Skin, Numbness",Hypertension,Eat healthy,"Hormonal Therapy, Antiviral Drugs"
"Sneezing, Swelling in Legs",PCOS,"Wash hands frequently, Take vaccines, Maintain hygiene",Cough Syrup
"Difficulty Swallowing, Runny Nose, Memory Loss, Mood Swings",Hepatitis,Meditate daily,Steroids
"Sweating, Joint Pain, Blurred Vision",Pancreatitis,"Reduce sugar intake, Monitor blood pressure, Avoid crowded places","Surgery, Insulin, IV Fluids"
"Shortness of Breath, Low Blood Pressure",Lung Infection,"Rest, Get proper nutrition, Exercise regularly","Dietary Supplements, Hormonal Therapy"
"Muscle Weakness, Swollen Glands, Rash",Sinusitis,Drink herbal tea,"Blood Thinners, Antifungal Medication, Insulin"
"Memory Loss, Shortness of Breath",PCOS,"Use mosquito repellent, Avoid smoking, Avoid alcohol",Chemotherapy
"Sweating, Low Blood Pressure, Dizziness, Cold Hands",Lupus,"Avoid allergens, Wash hands frequently, Reduce salt intake","Cognitive Therapy, Insulin"
"Low Blood Pressure, Cough, Headache, Rash",Stroke,"Get proper nutrition, Rest, Drink herbal tea","Physiotherapy, Antifungal Medication, Eye Drops"
"Cold Hands, Tremors, Numbness",Typhoid,"Monitor blood pressure, Avoid allergens, Eat healthy","Psychotherapy, Anti-inflammatory Drugs"
"Muscle Weakness, Heart Palpitations, Mood Swings",Parkinson’s Disease,"Avoid crowded places, Get proper nutrition, Maintain hygiene","Anti-inflammatory Drugs, Pacemaker Implantation, Dietary Supplements"
"Fatigue, Nosebleeds, Memory Loss",Stroke,"Reduce salt intake, Eat healthy, Meditate daily","IV Fluids, Vaccination, Steroids"
"Cough, Weight Loss, Itchy Eyes, Sneezing",Eczema,"Wear a mask, Maintain hygiene, Rest","Steroids, Antifungal Medication, Shockwave Therapy"
"Mood Swings, Shortness of Breath, Abdominal Pain, Sweating",Vertigo,Avoid bright lights,Antiviral Drugs
"Muscle Weakness, Weight Loss, Memory Loss, Sneezing",Epilepsy,"Wash hands frequently, Monitor blood pressure, Use mosquito repellent",Anti-inflammatory Drugs
"Runny Nose, Loss of Appetite, Dry Skin, Shortness of Breath",Eczema,"Sleep properly, Reduce salt intake","Insulin, Hormonal Therapy"
"Back Pain, Rash, Swelling in Legs",Heart Attack,"Avoid alcohol, Use sunscreen, Meditate daily","Physiotherapy, Vaccination, IV Fluids"
"Weight Loss, Swelling in Legs",Epilepsy,"Get proper nutrition, Reduce sugar intake, Regular health checkups","Hormonal Therapy, Cough Syrup, Antiviral Drugs"
"Sweating, Tingling Sensation",Hypertension,"Drink herbal tea, Avoid alcohol","Eye Drops, Cough Syrup"
"Dry Skin, Chest Pain, Nausea",Mental Stress,Regular health checkups,"Antifungal Medication, Cough Syrup, Emergency Medical Help"
"Muscle Weakness, Loss of Appetite, Runny Nose",Brain Tumor,"Avoid crowded places, Eat healthy","Vitamin Supplements, Physiotherapy"
"Frequent Urination, Back Pain, Sweating",Migraine,"Avoid crowded places, Reduce salt intake, Drink herbal tea","Oral Rehydration, Oxygen Therapy, Pacemaker Implantation"
"Chest Pain, Rash, Muscle Weakness, Cold Hands",PCOS,"Wash hands frequently, Exercise regularly, Eat healthy",Oxygen Therapy
"Weight Loss, Difficulty Swallowing",Pneumonia,"Wear a mask, Stay hydrated",Inhalers
"Heart Palpitations, Nausea, Headache",Asthma,Use an inhaler,"Skin Creams, Antibiotics, Insulin"
"Sensitivity to Light, High Blood Pressure",Meningitis,"Get proper nutrition, Rest, Stay hydrated","Bone Marrow Transplant, Inhalers, Anti-inflammatory Drugs"
"Sore Throat, Blurred Vision, Shortness of Breath, Nausea",Typhoid,"Rest, Use mosquito repellent, Reduce salt intake","Antifungal Medication, Antihistamines"
"Difficulty Swallowing, High Blood Pressure, Heart Palpitations",PCOS,"Maintain hygiene, Monitor blood pressure",Cognitive Therapy
"Difficulty Swallowing, Rash",Brain Tumor,Meditate daily,"Shockwave Therapy, Vaccination, Cognitive Therapy"
"Fever, Tingling Sensation, Low Blood Pressure",Malaria,Reduce salt intake,Bone Marrow Transplant
"Blurred Vision, Difficulty Swallowing, Shortness of Breath, Itchy Eyes",PCOS,Reduce caffeine intake,Psychotherapy
"Dry Skin, Fatigue, Runny Nose",Hepatitis,"Monitor blood pressure, Reduce sugar intake","Emergency Medical Help, Surgery, Antifungal Medication"
"Weight Loss, Ear Pain, Cough, Swollen Glands",Anemia,Reduce sugar intake,"Eye Drops, Antibiotics"
"Loss of Appetite, Sensitivity to Light, Itchy Eyes, Fatigue",Stroke,"Wear a mask, Reduce sugar intake, Get proper nutrition","Cough Syrup, Cognitive Therapy"
"Back Pain, Sneezing",Migraine,Reduce salt intake,IV Fluids
"Loss of Appetite, Fatigue",Diabetes,"Reduce salt intake, Avoid stress",Vaccination
"Memory Loss, Excessive Thirst",Tuberculosis,"Use mosquito repellent, Wear a mask",Hormonal Therapy
"Itchy Eyes, Rash",Bronchitis,"Rest, Reduce caffeine intake, Use an inhaler",Hormonal Therapy
"Dizziness, Cough",Hepatitis,Eat healthy,"Insulin, Shockwave Therapy, Bone Marrow Transplant"
"Headache, Abdominal Pain, Rash",Pancreatitis,"Reduce sugar intake, Wear a mask, Maintain hygiene","Vaccination, Antifungal Medication, Oxygen Therapy"
"Nausea, Dry Skin, Memory Loss, Low Blood Pressure",Vertigo,"Take vaccines, Maintain hygiene",Surgery
"Dizziness, Sensitivity to Light, Loss of Appetite, Back Pain",Pneumonia,Sleep properly,"Bone Marrow Transplant, Cough Syrup"
"Memory Loss, Shortness of Breath",Dengue,Use an inhaler,"Antibiotics, Vaccination"
"Itchy Eyes, Ear Pain",Sinusitis,"Regular health checkups, Avoid allergens","Inhalers, Oral Rehydration"
"Numbness, Sore Throat, Muscle Weakness, Low Blood Pressure",Sinusitis,"Regular health checkups, Monitor blood pressure","Emergency Medical Help, Antiviral Drugs, Painkillers"
"High Blood Pressure, Itchy Eyes",Glaucoma,"Reduce sugar intake, Maintain hygiene","Steroids, Inhalers"
"Dry Skin, Nausea, Ear Pain, Difficulty Swallowing",Hypertension,Wash hands frequently,Skin Creams
"Mood Swings, Chest Pain, Low Blood Pressure",Brain Tumor,"Avoid crowded places, Avoid alcohol, Reduce sugar intake","Eye Drops, Pacemaker Implantation, Surgery"
"Nausea, Cough",Glaucoma,Avoid bright lights,IV Fluids
"Back Pain, Fever",Parkinson’s Disease,"Avoid stress, Use mosquito repellent","Surgery, Bone Marrow Transplant, Anti-inflammatory Drugs"
"Ear Pain, Itchy Eyes, Mood Swings, Runny Nose",Hepatitis,"Wear a mask, Exercise regularly, Avoid bright lights",Cough Syrup
"Nosebleeds, High Blood Pressure",Pneumonia,Reduce sugar intake,"Radiation Therapy, Dietary Supplements, Antifungal Medication"
"Headache, Numbness, Nausea, Swelling in Legs",Typhoid,"Wash hands frequently, Exercise regularly","Paracetamol, Bone Marrow Transplant, Vaccination"
"Numbness, Shortness of Breath",Anemia,"Rest, Maintain hygiene, Get proper nutrition","Hormonal Therapy, Psychotherapy, Inhalers"
"Swollen Glands, Chest Pain",Epilepsy,Rest,"Oxygen Therapy, Hormonal Therapy, Surgery"
"Numbness, Blurred Vision, Swollen Glands",Sciatica,"Avoid crowded places, Use an inhaler, Take vaccines","Antibiotics, Inhalers"
"Sneezing, Loss of Appetite",Mental Stress,Monitor blood pressure,"Vaccination, Antifungal Medication, Cognitive Therapy"
"Low Blood Pressure, Swollen Glands, Dizziness",Eczema,Meditate daily,"Antihistamines, Surgery"
"Back Pain, Sore Throat, Shortness of Breath, Loss of Appetite",Parkinson’s Disease,"Maintain hygiene, Avoid allergens","Cognitive Therapy, Skin Creams"
"Sore Throat, Difficulty Swallowing",Sinusitis,Drink herbal tea,Bone Marrow Transplant
"Sneezing, Shortness of Breath",Asthma,"Exercise regularly, Reduce caffeine intake, Eat healthy",Psychotherapy
"Itchy Eyes, Abdominal Pain, Runny Nose, Joint Pain",Stroke,"Maintain hygiene, Avoid alcohol, Use an inhaler","Oxygen Therapy, Paracetamol, Emergency Medical Help"
"Fever, Loss of Appetite, Joint Pain",Liver Disease,"Wash hands frequently, Reduce caffeine intake",Vitamin Supplements
"Blurred Vision, Frequent Urination, Cold Hands, Memory Loss",Stroke,"Reduce caffeine intake, Reduce sugar intake, Exercise regularly","Oxygen Therapy, Antiviral Drugs"
"Ear Pain, Low Blood Pressure, Loss of Appetite, Nausea",Eczema,"Rest, Reduce caffeine intake, Exercise regularly",Oxygen Therapy
"Headache, Dizziness, Muscle Weakness",Anemia,"Reduce sugar intake, Drink herbal tea","Emergency Medical Help, Vaccination"
"Abdominal Pain, Shortness of Breath, Nosebleeds",Pneumonia,Avoid crowded places,IV Fluids
"Memory Loss, Nosebleeds, Swelling in Legs",Flu,"Use mosquito repellent, Monitor blood pressure","Anti-inflammatory Drugs, Blood Thinners, Antiviral Drugs"
"Swelling in Legs, Numbness, Mood Swings",Asthma,Use sunscreen,Oxygen Therapy
"High Blood Pressure, Mood Swings, Rash, Fever",Heart Attack,"Use mosquito repellent, Exercise regularly","Inhalers, Antiviral Drugs, Cough Syrup"
"Fever, Loss of Appetite, Tremors",Multiple Sclerosis,Reduce caffeine intake,Bone Marrow Transplant
"Muscle Weakness, Back Pain, Loss of Appetite",Stroke,"Use mosquito repellent, Get proper nutrition",IV Fluids
"Frequent Urination, Abdominal Pain, Blurred Vision, Itchy Eyes",Lupus,"Get proper nutrition, Avoid smoking",Oral Rehydration
"Sore Throat, Numbness, Sweating, Nosebleeds",PCOS,"Avoid allergens, Wash hands frequently, Avoid stress","Insulin, Oxygen Therapy"
"Fever, Weight Loss",Tuberculosis,Avoid smoking,"Dietary Supplements, Psychotherapy, Chemotherapy"
"Numbness, Nausea, Mood Swings",Glaucoma,"Reduce caffeine intake, Get proper nutrition","Cognitive Therapy, Physiotherapy"
"Sensitivity to Light, Nausea",Common Cold,Avoid smoking,Surgery
"Dizziness, Tremors, Sensitivity to Light",Leukemia,Use sunscreen,"Cognitive Therapy, Anti-inflammatory Drugs"
"Excessive Thirst, Memory Loss, Rash, Sore Throat",Lung Infection,"Reduce caffeine intake, Exercise regularly, Monitor blood pressure","IV Fluids, Antiviral Drugs"
"Sore Throat, High Blood Pressure, Swelling in Legs, Sneezing",Common Cold,"Reduce sugar intake, Wear a mask, Regular health checkups","Dietary Supplements, IV Fluids, Inhalers"
"Dry Skin, Swelling in Legs, Sensitivity to Light",Epilepsy,"Regular health checkups, Avoid allergens, Reduce salt intake","Antifungal Medication, Eye Drops, Antibiotics"
"Fever, Rash",Leukemia,"Wash hands frequently, Meditate daily","Painkillers, Steroids, Antifungal Medication"
"Nausea, Fever, Ear Pain",Diabetes,"Eat healthy, Sleep properly, Reduce sugar intake","Cough Syrup, Antibiotics"
"Rash, Fever",PCOS,"Wear a mask, Use sunscreen, Stay hydrated",Inhalers
"Sneezing, Nausea, Tremors, Runny Nose",Lung Infection,"Rest, Eat healthy",Antibiotics
"Sweating, Dizziness",Asthma,Avoid bright lights,"Inhalers, Dietary Supplements, Hormonal Therapy"
"Abdominal Pain, Headache, Joint Pain, Fever",Malaria,Avoid alcohol,Radiation Therapy
"Nausea, Sneezing, Muscle Weakness, Itchy Eyes",Diabetes,Reduce salt intake,Physiotherapy
"Frequent Urination, Dizziness, Headache",Stroke,"Rest, Wash hands frequently","IV Fluids, Inhalers"
"Back Pain, Muscle Weakness",Thyroid Disease,"Take vaccines, Get proper nutrition, Eat healthy",Oxygen Therapy
"Memory Loss, Sneezing, Blurred Vision",Lung Infection,"Eat healthy, Reduce sugar intake","Hormonal Therapy, Oxygen Therapy"
"Heart Palpitations, Sensitivity to Light",Malaria,"Drink herbal tea, Monitor blood pressure, Meditate daily",Antifungal Medication
"Blurred Vision, Weight Loss, Memory Loss",PCOS,Wear a mask,"Antibiotics, Dietary Supplements, Shockwave Therapy"
"Rash, Sneezing, Shortness of Breath, Fever",Thyroid Disease,"Monitor blood pressure, Drink herbal tea, Avoid allergens","Inhalers, IV Fluids, Pacemaker Implantation"
"Sneezing, High Blood Pressure, Ear Pain, Itchy Eyes",Meningitis,"Sleep properly, Maintain hygiene, Avoid stress","Chemotherapy, Physiotherapy"
"Rash, Numbness, Weight Loss",Brain Tumor,"Avoid crowded places, Avoid smoking, Avoid alcohol","Chemotherapy, Vitamin Supplements"
"Dry Skin, High Blood Pressure, Joint Pain",Heart Attack,"Regular health checkups, Take vaccines, Get proper nutrition","Radiation Therapy, Insulin, Pacemaker Implantation"
"Swelling in Legs, Frequent Urination, Cold Hands",Lupus,Use mosquito repellent,"Oxygen Therapy, Dietary Supplements"
"Fatigue, Chest Pain",Brain Tumor,"Regular health checkups, Exercise regularly","Anti-inflammatory Drugs, Psychotherapy, Antifungal Medication"
"Joint Pain, Nosebleeds, Low Blood Pressure, Abdominal Pain",Parkinson’s Disease,"Eat healthy, Avoid alcohol","Physiotherapy, Hormonal Therapy, Chemotherapy"
"Memory Loss, Sneezing, Loss of Appetite",Liver Disease,"Sleep properly, Take vaccines","Painkillers, Antiviral Drugs"
"Runny Nose, Abdominal Pain, Rash, Itchy Eyes",Lupus,"Monitor blood pressure, Avoid alcohol","IV Fluids, Antiviral Drugs, Dietary Supplements"
"Numbness, Headache",Food Poisoning,"Rest, Reduce caffeine intake, Drink herbal tea","Hormonal Therapy, Psychotherapy"
"Frequent Urination, Muscle Weakness, Dizziness",Asthma,"Maintain hygiene, Use sunscreen, Avoid allergens",Anti-inflammatory Drugs
"Back Pain, Blurred Vision, Sensitivity to Light",Heart Attack,Monitor blood pressure,"Bone Marrow Transplant, Eye Drops, Inhalers"
"Numbness, Excessive Thirst",Eczema,"Eat healthy, Wear a mask","Oral Rehydration, Surgery"
"Sensitivity to Light, Dizziness, Itchy Eyes",PCOS,"Meditate daily, Sleep properly","Surgery, Physiotherapy, Oral Rehydration"
"Rash, Diarrhea",Hypertension,"Take vaccines, Reduce salt intake","Anti-inflammatory Drugs, Vaccination"
"Excessive Thirst, Swelling in Legs, Difficulty Swallowing, Numbness",Thyroid Disease,"Avoid stress, Exercise regularly",Paracetamol
"Difficulty Swallowing, Fatigue",Tuberculosis,"Drink herbal tea, Reduce caffeine intake","Chemotherapy, Steroids"
"Muscle Weakness, Difficulty Swallowing, Runny Nose, Headache",PCOS,Regular health checkups,"Anti-inflammatory Drugs, Inhalers"
"Nausea, Low Blood Pressure, Fever, Dry Skin",Multiple Sclerosis,Reduce sugar intake,"Cognitive Therapy, Antihistamines"
"Memory Loss, Dry Skin, Swelling in Legs",Food Poisoning,"Wear a mask, Use an inhaler, Avoid bright lights","Eye Drops, Cognitive Therapy"
"Abdominal Pain, Memory Loss",Common Cold,"Reduce caffeine intake, Rest","Radiation Therapy, Painkillers"
"Swelling in Legs, Itchy Eyes, Cold Hands, Swollen Glands",Flu,"Use an inhaler, Avoid crowded places, Meditate daily",Psychotherapy
"Dizziness, Diarrhea, Numbness, Ear Pain",Hepatitis,"Use an inhaler, Stay hydrated","Bone Marrow Transplant, Physiotherapy"
"Frequent Urination, Nosebleeds, Sneezing, Abdominal Pain",Anemia,"Use sunscreen, Avoid allergens, Take vaccines","Antiviral Drugs, Antibiotics"
"Rash, High Blood Pressure, Dry Skin",Brain Tumor,"Avoid crowded places, Meditate daily","Steroids, Antihistamines, Pacemaker Implantation"
"Frequent Urination, Excessive Thirst",Multiple Sclerosis,Avoid crowded places,"Vitamin Supplements, Physiotherapy"
"Abdominal Pain, Sneezing, Numbness",Migraine,Exercise regularly,"Radiation Therapy, Oxygen Therapy"
"Heart Palpitations, Fatigue, Ear Pain, Headache",Liver Disease,"Wear a mask, Sleep properly, Use sunscreen",Psychotherapy
"Frequent Urination, Nosebleeds",Arthritis,"Maintain hygiene, Wear a mask, Avoid alcohol","Oral Rehydration, Painkillers"
"Muscle Weakness, Low Blood Pressure",Stroke,Stay hydrated,"Blood Thinners, Emergency Medical Help, Psychotherapy"
"Swollen Glands, Chest Pain, Runny Nose, Shortness of Breath",Eczema,Monitor blood pressure,"Pacemaker Implantation, Chemotherapy, Oxygen Therapy"
"Tingling Sensation, Excessive Thirst, Dizziness, Chest Pain",Common Cold,Get proper nutrition,"Psychotherapy, Cough Syrup, Anti-inflammatory Drugs"
"Joint Pain, Dizziness, Frequent Urination, Itchy Eyes",Mental Stress,"Avoid alcohol, Eat healthy, Stay hydrated","Surgery, Skin Creams, Shockwave Therapy"
"Cough, Diarrhea",Sinusitis,"Maintain hygiene, Wash hands frequently, Rest","Radiation Therapy, Bone Marrow Transplant"
"Chest Pain, Low Blood Pressure, Dry Skin",Hypertension,"Maintain hygiene, Meditate daily","Hormonal Therapy, Blood Thinners"
"Shortness of Breath, Dry Skin",Eczema,"Take vaccines, Get proper nutrition, Avoid stress",Cough Syrup
"Shortness of Breath, Diarrhea, Heart Palpitations, Swollen Glands",Typhoid,Use mosquito repellent,Radiation Therapy
"Numbness, Muscle Weakness, Fever",Malaria,"Eat healthy, Reduce salt intake, Monitor blood pressure",Antibiotics
"Heart Palpitations, Shortness of Breath",PCOS,Stay hydrated,"Pacemaker Implantation, Cough Syrup"
"Numbness, Back Pain",Sciatica,"Regular health checkups, Stay hydrated",Psychotherapy
"Frequent Urination, Loss of Appetite, Cold Hands",Colon Cancer,Avoid allergens,"Vitamin Supplements, Cough Syrup, Bone Marrow Transplant"
"Joint Pain, Swollen Glands",Dengue,"Reduce sugar intake, Maintain hygiene","Antibiotics, Inhalers, Antifungal Medication"
"Nausea, Loss of Appetite, Muscle Weakness",Flu,"Avoid allergens, Avoid bright lights","Dietary Supplements, Vaccination"
"Nosebleeds, Heart Palpitations, Frequent Urination, Shortness of Breath",Pneumonia,Use an inhaler,"Emergency Medical Help, Vaccination"
"Runny Nose, Cough, Cold Hands",Flu,Use mosquito repellent,"Oral Rehydration, Steroids, Oxygen Therapy"
"Itchy Eyes, High Blood Pressure, Heart Palpitations",Diabetes,"Reduce sugar intake, Meditate daily",Cough Syrup
"Cold Hands, Memory Loss, Heart Palpitations, Numbness",Pneumonia,"Use an inhaler, Eat healthy, Get proper nutrition",Radiation Therapy
"Blurred Vision, Memory Loss, Rash, Dizziness",Thyroid Disease,"Exercise regularly, Monitor blood pressure, Eat healthy","Blood Thinners, IV Fluids"
"High Blood Pressure, Ear Pain, Sneezing, Mood Swings",Parkinson’s Disease,Use mosquito repellent,"IV Fluids, Blood Thinners, Vitamin Supplements"
"Weight Loss, Nausea, Runny Nose",Heart Attack,"Avoid crowded places, Rest, Wash hands frequently","Vitamin Supplements, Surgery"
"Fatigue, Headache, Nosebleeds",Mental Stress,"Avoid allergens, Get proper nutrition, Use an inhaler","Emergency Medical Help, Paracetamol, Shockwave Therapy"
"Cough, Difficulty Swallowing, Back Pain, Dry Skin",Arthritis,"Avoid allergens, Avoid bright lights",Cognitive Therapy
"Headache, Dizziness, Tingling Sensation",Arrhythmia,"Stay hydrated, Avoid crowded places",Insulin
"Memory Loss, Excessive Thirst",Flu,Use sunscreen,Antibiotics
"Heart Palpitations, Swollen Glands, Dry Skin, Fatigue",Flu,Avoid allergens,Shockwave Therapy
"Fatigue, Diarrhea, Sneezing, Sore Throat",Heart Attack,Sleep properly,Paracetamol
"Low Blood Pressure, Fever, Cough",Malaria,Avoid crowded places,"Painkillers, Cognitive Therapy, Physiotherapy"
"Heart Palpitations, Tremors, Numbness, Joint Pain",PCOS,"Take vaccines, Use mosquito repellent","Antiviral Drugs, Antibiotics, Inhalers"
"Sneezing, Difficulty Swallowing",Dengue,"Reduce caffeine intake, Wash hands frequently, Meditate daily",Vitamin Supplements
"Fever, Weight Loss, Dry Skin",Brain Tumor,"Take vaccines, Use an inhaler, Stay hydrated","Surgery, Eye Drops"
"Numbness, Difficulty Swallowing, Itchy Eyes",Hypertension,"Avoid bright lights, Exercise regularly","Surgery, Inhalers"
"Joint Pain, Dry Skin, Sweating",Pancreatitis,Reduce caffeine intake,Chemotherapy
"Nausea, Tingling Sensation, Nosebleeds, Abdominal Pain",Parkinson’s Disease,"Avoid smoking, Reduce salt intake, Avoid crowded places",Dietary Supplements
"Itchy Eyes, Sweating, Back Pain, Diarrhea",PCOS,"Get proper nutrition, Maintain hygiene, Regular health checkups","Dietary Supplements, Blood Thinners"
"Swelling in Legs, Runny Nose, Tingling Sensation, Chest Pain",Epilepsy,Wear a mask,"Dietary Supplements, Psychotherapy"
"Sweating, Fatigue",Dengue,"Reduce caffeine intake, Monitor blood pressure","Dietary Supplements, Antifungal Medication, Insulin"
"Blurred Vision, Fatigue, Sensitivity to Light, Loss of Appetite",Dengue,"Reduce salt intake, Avoid stress",Blood Thinners
"Excessive Thirst, Joint Pain, Headache, Fever",Dengue,"Wear a mask, Regular health checkups, Use an inhaler",Physiotherapy
"Fever, Chest Pain, Shortness of Breath, Memory Loss",Typhoid,Avoid crowded places,Blood Thinners
"Heart Palpitations, Nosebleeds",Multiple Sclerosis,Avoid smoking,Bone Marrow Transplant
"Mood Swings, Sensitivity to Light",Tuberculosis,"Reduce salt intake, Avoid smoking, Reduce caffeine intake","IV Fluids, Paracetamol, Antibiotics"
"Memory Loss, Itchy Eyes, Nausea",Pneumonia,"Wear a mask, Avoid stress","Paracetamol, Dietary Supplements, Cough Syrup"
"Tremors, Nosebleeds, High Blood Pressure",PCOS,"Rest, Avoid stress, Reduce salt intake",Antiviral Drugs
"Difficulty Swallowing, Runny Nose, Memory Loss",Heart Attack,"Reduce sugar intake, Reduce salt intake, Avoid crowded places","Surgery, Physiotherapy, Antibiotics"
"Back Pain, Tingling Sensation, Fatigue, Frequent Urination",Stroke,Meditate daily,"Paracetamol, Anti-inflammatory Drugs"
"Dry Skin, Sneezing, Cough, Rash",Arthritis,Stay hydrated,"Radiation Therapy, Vaccination"
"Fever, Headache, Diarrhea",Glaucoma,"Wear a mask, Take vaccines",Steroids
"Shortness of Breath, Numbness, Dizziness",Multiple Sclerosis,"Meditate daily, Use sunscreen","Physiotherapy, Antihistamines, Psychotherapy"
"Numbness, Frequent Urination, Diarrhea, Cough",Flu,"Maintain hygiene, Avoid alcohol","Eye Drops, Paracetamol, Chemotherapy"
"Sneezing, Fever, Sweating",Parkinson’s Disease,Drink herbal tea,Eye Drops
"Nausea, Diarrhea, Blurred Vision, Ear Pain",Migraine,Monitor blood pressure,"Oxygen Therapy, Antibiotics, Emergency Medical Help"
"Tingling Sensation, Shortness of Breath, Cold Hands, Back Pain",Leukemia,Avoid crowded places,"Vaccination, Bone Marrow Transplant"
"Sneezing, Memory Loss, Chest Pain, Rash",Eczema,"Reduce salt intake, Take vaccines","Antihistamines, Insulin"
"Dizziness, Muscle Weakness, Memory Loss",PCOS,"Get proper nutrition, Wash hands frequently","Insulin, Inhalers, Radiation Therapy"
